Vivado Simulator 2020.2
Time resolution is 1 ps
WARNING: File younghee.mem referenced on C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sources_1/VGA/QVGA_MemController.sv at line 55 cannot be opened for reading. Please ensure that this file is available in the current working directory.
time	reset	busy	DE	Hsync	Vsync	pixel_clk
                   0	1	x	1	1	1	0
              100000	0	x	1	1	1	0
Warning: NUMERIC_STD."=": metavalue detected, returning FALSE
Time: 140 ns  Iteration: 3  Process: /tb_TOP_OV7670_HDMI/uut/u_rgb2dvi/\DataEncoders(0)\/DataEncoder/line__154  File: C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sources_1/HDMI/TMDS_Encoder.vhd
Warning: NUMERIC_STD."=": metavalue detected, returning FALSE
Time: 140 ns  Iteration: 3  Process: /tb_TOP_OV7670_HDMI/uut/u_rgb2dvi/\DataEncoders(1)\/DataEncoder/line__154  File: C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sources_1/HDMI/TMDS_Encoder.vhd
Warning: NUMERIC_STD."=": metavalue detected, returning FALSE
Time: 140 ns  Iteration: 3  Process: /tb_TOP_OV7670_HDMI/uut/u_rgb2dvi/\DataEncoders(2)\/DataEncoder/line__154  File: C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sources_1/HDMI/TMDS_Encoder.vhd
             6400000	0	0	1	1	1	0
             6420000	0	0	1	1	1	1
             6440000	0	0	1	1	1	0
             6460000	0	0	1	1	1	1
             6480000	0	0	1	1	1	0
             6500000	0	0	1	1	1	1
             6520000	0	0	1	1	1	0
             6540000	0	0	1	1	1	1
             6560000	0	0	1	1	1	0
             6580000	0	0	1	1	1	1
             6600000	0	0	1	1	1	0
             6620000	0	0	1	1	1	1
             6640000	0	0	1	1	1	0
             6660000	0	0	1	1	1	1
             6680000	0	0	1	1	1	0
             6700000	0	0	1	1	1	1
             6720000	0	0	1	1	1	0
             6740000	0	0	1	1	1	1
             6760000	0	0	1	1	1	0
             6780000	0	0	1	1	1	1
             6800000	0	0	1	1	1	0
             6820000	0	0	1	1	1	1
             6840000	0	0	1	1	1	0
             6860000	0	0	1	1	1	1
             6880000	0	0	1	1	1	0
             6900000	0	0	1	1	1	1
             6920000	0	0	1	1	1	0
             6940000	0	0	1	1	1	1
             6960000	0	0	1	1	1	0
             6980000	0	0	1	1	1	1
             7000000	0	0	1	1	1	0
             7020000	0	0	1	1	1	1
             7040000	0	0	1	1	1	0
             7060000	0	0	1	1	1	1
             7080000	0	0	1	1	1	0
             7100000	0	0	1	1	1	1
             7120000	0	0	1	1	1	0
             7140000	0	0	1	1	1	1
             7160000	0	0	1	1	1	0
             7180000	0	0	1	1	1	1
             7200000	0	0	1	1	1	0
             7220000	0	0	1	1	1	1
